city,state,long,lat,value
Bullhead City,AZ,-114.59,35.085,2
Bulverde,TX,-98.42,29.8,1
Burbank,CA,-118.33,34.1694736842105,19
Burbank,IL,-87.77,41.75,2
Burien,WA,-122.338,47.472,5
Burke,VA,-77.305,38.7925,4
Burleson,TX,-97.3325,32.535,4
Burlingame,CA,-122.366,37.59,5
Burlington,IA,-91.14,40.82,1
Burlington,KY,-84.69,39.02,1
Burlington,MA,-71.2125,42.485,4
Burlington,NC,-79.5025,36.075,4
Burlington,NJ,-74.82,40.04,1
Burlington,VT,-73.21,44.48,2
Burlington,WA,-122.3375,48.475,4
Burnsville,MN,-93.2933333333333,44.7466666666667,3
Burnsville,NC,-82.29,35.91,1
Burnwell,WV,-81.38,38.1,1
Burr Ridge,IL,-87.91,41.75,1
Burtonsville,MD,-76.93,39.11,1
Butler,PA,-79.95,40.88,1
Butte,MT,-112.51,45.98,1
Buttonwillow,CA,-119.4,35.4,1
Byron,CA,-121.62,37.89,1
Byron Center,MI,-85.67,42.81,1
Cabazon,CA,-116.81,33.9266666666667,3
Calabasas,CA,-118.68,34.1466666666667,3
Caledonia,MI,-85.5833333333333,42.83,3
Calexico,CA,-115.5,32.68,1
Calhoun,GA,-84.93,34.47,1
California,MD,-76.52,38.3,1
Calimesa,CA,-117.06,34,1
Callaway,FL,-85.59,30.16,1
Calumet City,IL,-87.56,41.6,1
Camarillo,CA,-119.04,34.2257142857143,7
Camas,WA,-122.4,45.59,1
Cambridge,MA,-71.1107692307692,42.3707692307692,13
Cambridge,MN,-93.21,45.57,1
Camby,IN,-86.33,39.64,1
Camden,NJ,-75.12,39.95,1
Cameron Park,CA,-120.98,38.6733333333333,3
Camp Hill,PA,-76.9333333333333,40.2333333333333,3
Camp Lejenue,NC,-77.34,34.67,1
Camp Verde,AZ,-111.87,34.575,2
Campbell,CA,-121.952857142857,37.2857142857143,7
Canal Winchester,OH,-82.83,39.86,1
Canandaigua,NY,-77.26,42.88,1
Canastota,NY,-75.84,43.1,1
Canby,OR,-122.686666666667,45.2666666666667,3
Candler,NC,-82.66,35.55,1
Canfield,OH,-80.74,41.03,1
Cannon Afb,NM,-103.33,34.39,1
Canoga Park,CA,-118.604,34.198,5
Canon City,CO,-105.22,38.45,1
Canonsburg,PA,-80.17,40.26,1
Canton,GA,-84.472,34.214,5
Canton,IL,-90.04,40.57,1
Canton,MA,-71.15,42.14,1
Canton,MI,-83.4675,42.3075,4
Canton,NC,-82.84,35.54,1
Canton,OH,-81.4425,40.86,4
Canyon,TX,-101.92,34.98,1
Canyon Country,CA,-118.47,34.42,1
Cape Coral,FL,-81.96,26.6216666666667,6
Cape Girardeau,MO,-89.5566666666667,37.3133333333333,3
Capitola,CA,-121.97,36.9766666666667,3
Captiva,FL,-82.19,26.53,1
Carbondale,IL,-89.205,37.72,2
Cardiff,CA,-117.28,33.02,1
Carefree,AZ,-111.92,33.82,1
Carlisle,PA,-77.1666666666667,40.2,3
Carlsbad,CA,-117.29,33.1154545454545,11
Carmel,CA,-121.91,36.54,2
Carmel,IN,-86.1518181818182,39.9672727272727,11
Carmel,NY,-73.67,41.41,1
Carmichael,CA,-121.33,38.6433333333333,3
Carnation,WA,-121.92,47.65,1
Carney,MD,-76.54,39.4,1
Carol Stream,IL,-88.1,41.9,1
Carpinteria,CA,-119.51,34.39,1
Carrollton,GA,-85.085,33.56,2
Carrollton,TX,-96.8916666666667,33.0116666666667,6
Carson,CA,-118.27125,33.83375,8
Carson City,NV,-119.768333333333,39.1683333333333,6
Cartersville,GA,-84.79,34.175,4
Cary,IL,-88.25,42.22,1
Cary,NC,-78.8082352941177,35.7870588235294,17
Casa Grande,AZ,-111.74,32.9033333333333,3
Cashiers,NC,-83.1,35.11,1
Casper,WY,-106.3075,42.845,4
Casselberry,FL,-81.3333333333333,28.6533333333333,3
Castaic,CA,-118.62,34.475,2
Castle Rock,CO,-104.8575,39.40375,8
Castle Rocks,CO,-104.88,39.47,1
Castro Valley,CA,-122.075,37.695,4
Cathedral City,CA,-116.473333333333,33.82,3
Catonsville,MD,-76.75,39.28,1
Cave Creek,AZ,-111.98,33.7833333333333,3
Cedar City,UT,-113.08,37.66,1
Cedar Falls,IA,-92.4466666666667,42.4966666666667,3
Cedar Hill,TX,-96.94,32.595,2
Cedar Knolls,NJ,-74.47,40.81,1
Cedar Park,TX,-97.81,30.5033333333333,6
Cedar Rapids,IA,-91.6722222222222,41.9933333333333,9
Cedarburg,WI,-87.99,43.29,1
Cedarhurst,NY,-73.74,40.63,1
Celebration,FL,-81.54,28.32,1
Centennial,CO,-104.865,39.5925,8
Centereach,NY,-73.09,40.87,2
Centerville,OH,-84.16,39.625,2
Centerville,UT,-111.89,40.92,1
Centerville,VA,-77.445,38.845,2
Central Islip,NY,-73.2,40.77,1
Central Valley,NY,-74.13,41.32,1
Centralia,WA,-122.99,46.75,3
Century City,CA,-118.413333333333,34.06,3
Ceres,CA,-120.955,37.61,2
Cerritos,CA,-118.08,33.8585714285714,7
Chalfont,PA,-75.24,40.27,1
Chambersburg,PA,-77.63,39.94,2
Champaign,IL,-88.242,40.12,5
Champlin,MN,-93.39,45.165,2
Chandler,AZ,-111.86037037037,33.2833333333333,27
Chanhassen,MN,-93.53,44.86,2
Chantilly,VA,-77.4766666666667,38.91,3
